step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,ingestion_timestamp,source_batch_id
15,PAYMENT,3993.72,C1717055498,5043.0,1049.28,M1395769231,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,349047.71,C481622725,0.0,0.0,C1666165869,847295.15,1196342.86,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,CASH_IN,278273.57,C355921659,106404.0,384677.57,C1697002056,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,CASH_OUT,329586.76,C1074754673,1793337.28,1463750.52,C304406966,1847431.07,2671444.08,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,CASH_OUT,170488.4,C1314528675,0.0,0.0,C858715064,358377.19,528865.59,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,PAYMENT,7195.25,C1303006845,10149.0,2953.75,M478720522,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,CASH_OUT,9140.66,C1140320669,11221.0,2080.34,C658973588,0.0,9140.66,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,PAYMENT,527.63,C1075884693,114529.1,114001.47,M19739586,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,PAYMENT,23291.79,C1652692818,0.0,0.0,M212685020,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,CASH_OUT,420600.37,C737068684,0.0,0.0,C796028148,1518355.7,3540513.22,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_OUT,480839.19,C251769311,17352.74,0.0,C958180931,419942.5,1374725.9,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_IN,199375.3,C292716520,10605.0,209980.3,C1214076476,405.47,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,PAYMENT,5732.38,C1010150870,207960.18,202227.8,M1101739642,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
7,PAYMENT,16134.77,C1087730387,91045.11,74910.34,M80749340,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,CASH_OUT,185289.63,C369313725,0.0,0.0,C547920626,240191.78,519243.6,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
16,CASH_OUT,126086.65,C884644004,0.0,0.0,C55624327,350295.35,858582.55,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
16,PAYMENT,8147.24,C506059951,294184.75,286037.51,M725446751,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,33557.58,C1958377794,744.0,0.0,C1014202971,291513.19,410532.16,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
22,PAYMENT,11160.26,C297275313,169853.0,158692.74,M1235060191,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
27,CASH_OUT,373980.8,C169268389,29409.1,0.0,C453004446,1228843.88,1602824.68,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
39,PAYMENT,6290.36,C166307164,32366.0,26075.64,M268757945,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
23,CASH_IN,69136.22,C628163780,815651.36,884787.59,C900921479,148572.23,79436.01,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,PAYMENT,21984.53,C2114917385,2743.83,0.0,M1409457290,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
6,PAYMENT,9903.87,C497983073,38953.75,29049.88,M934563470,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
16,CASH_OUT,315338.91,C307361294,0.0,0.0,C294252921,8056317.32,8371656.24,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,CASH_OUT,19630.51,C49835754,307887.0,288256.49,C1084435493,196798.93,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
12,PAYMENT,9655.23,C1091518343,0.0,0.0,M544817558,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
23,PAYMENT,29910.92,C43014830,52485.0,22574.08,M1795355348,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,PAYMENT,1097.86,C1907937846,252.0,0.0,M583776678,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
40,PAYMENT,12772.56,C803111617,0.0,0.0,M503921628,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,CASH_IN,183222.79,C503381580,673099.0,856321.79,C1288198891,154866.83,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
7,CASH_IN,3586.94,C2102354034,1378954.81,1382541.75,C957388291,37558.01,854165.83,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
11,CASH_IN,244036.47,C557411566,4448346.9,4692383.37,C861720625,3769555.23,3525847.9,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_IN,69509.13,C71573852,2298375.77,2367884.9,C937819227,462026.02,796023.22,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_OUT,51755.47,C923918233,5769.0,0.0,C472751704,1195789.87,1247545.35,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,CASH_OUT,200895.94,C1090578600,125806.0,0.0,C908388313,0.0,200895.94,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,CASH_OUT,268700.64,C1676119775,488.26,0.0,C289353346,728105.62,1388848.42,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_IN,154547.28,C1050351749,2405952.32,2560499.6,C1400085107,7897103.59,7817828.17,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_IN,125293.81,C1174881502,15806923.56,15932217.36,C351394592,1192201.6,1066907.79,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,PAYMENT,5905.76,C884109733,10905.0,4999.24,M1970371912,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_IN,112720.46,C873676679,11036.0,123756.46,C652609363,30293.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_IN,331472.55,C969331479,1204100.71,1535573.26,C1281994800,979213.36,1187612.56,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,CASH_IN,647191.67,C215259411,21311.0,668502.67,C1672319267,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,PAYMENT,10828.35,C1835268922,29169.0,18340.65,M516606646,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,PAYMENT,12690.99,C1517066648,0.0,0.0,M1836027038,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,PAYMENT,8995.55,C2049410079,63027.52,54031.96,M157131801,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
16,CASH_OUT,170061.65,C1369556820,49930.0,0.0,C1379780296,275866.35,428454.98,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,1673.67,C1730813804,0.0,0.0,C817804627,197954.98,199628.64,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
12,CASH_IN,278677.68,C840729945,6358433.03,6637110.71,C360898540,1293162.91,1014485.23,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,PAYMENT,16405.39,C1679270300,886830.68,870425.28,M1753727270,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,TRANSFER,462396.28,C976614368,237858.0,0.0,C710481910,1299574.7,1529614.48,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,CASH_OUT,52551.6,C1100383617,0.0,0.0,C944858368,1659765.71,1712317.31,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,CASH_IN,30510.33,C1515192879,1045.0,31555.33,C2056214471,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,TRANSFER,308727.6,C785040857,0.0,0.0,C1105901057,9541208.7,9849936.3,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,DEBIT,286.11,C66260434,50727.0,50440.89,C535962748,271744.08,272030.19,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,PAYMENT,8571.58,C284568883,27174.0,18602.42,M1336305606,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,PAYMENT,8885.07,C160750582,1400.0,0.0,M127328230,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,TRANSFER,650262.12,C296656971,0.0,0.0,C527599317,3548608.42,4276484.07,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
7,PAYMENT,5396.62,C2080475955,96009.57,90612.95,M1764555378,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,PAYMENT,13146.42,C1713496557,27329.0,14182.58,M845172752,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,CASH_OUT,79091.56,C451793714,42290.0,0.0,C1843026582,660774.76,1032223.72,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,PAYMENT,3421.75,C1165308077,91381.18,87959.43,M2102013964,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
16,PAYMENT,1719.73,C927320314,119639.0,117919.27,M1788889390,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,PAYMENT,7314.9,C23602548,0.0,0.0,M1156579919,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
25,PAYMENT,12630.84,C843993719,16992.19,4361.35,M1240967960,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
8,CASH_OUT,33959.63,C619429631,32391.0,0.0,C300836639,0.0,19979.28,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,TRANSFER,169014.57,C702153833,106033.0,0.0,C1168804262,0.0,169014.57,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,CASH_OUT,314203.0,C1618386978,552779.0,238576.0,C582410861,84209.69,331087.6,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_OUT,213542.11,C406601023,218435.17,4893.06,C1086693526,51361.25,333532.57,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,CASH_OUT,90091.18,C1885638354,263585.0,173493.82,C1004962268,2468027.62,2558118.79,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
22,CASH_IN,86680.65,C173471215,20075.0,106755.65,C1585949908,8934.22,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,TRANSFER,2434273.68,C1864188806,0.0,0.0,C1055016558,2563005.14,4997278.81,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,PAYMENT,19698.86,C580147775,328595.17,308896.31,M226153668,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,PAYMENT,6872.3,C334655981,757.0,0.0,M248862771,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_IN,42309.67,C1303208854,941078.15,983387.82,C1589604181,148273.42,105963.75,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
16,PAYMENT,7211.95,C80014132,42398.0,35186.05,M1222979528,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,CASH_OUT,44170.58,C2089044575,0.0,0.0,C1525593252,594570.84,441083.82,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,PAYMENT,14044.61,C581485362,0.0,0.0,M220211728,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,TRANSFER,1264307.97,C695851979,0.0,0.0,C1993335720,1580746.57,2845054.54,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
40,CASH_OUT,394451.16,C580982979,0.0,0.0,C833173784,473479.89,867931.06,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_OUT,20199.39,C1659323865,130530.0,110330.61,C1339678445,3988919.62,4145221.07,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
11,CASH_OUT,183572.74,C445338699,666.0,0.0,C478634485,338122.88,521695.62,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
34,TRANSFER,166537.53,C1624649497,10786.0,0.0,C18700752,3651070.03,4272882.73,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,CASH_OUT,270402.71,C1324776863,25051.0,0.0,C682859516,172.0,209423.67,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_IN,85835.33,C1378781966,19151.0,104986.33,C323565394,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,PAYMENT,1266.07,C359189158,10911.0,9644.93,M273958048,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,PAYMENT,9166.55,C198980586,0.0,0.0,M1512049444,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,PAYMENT,9710.7,C1332949397,12636.0,2925.3,M295080089,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,PAYMENT,19879.83,C1143765158,26961.0,7081.17,M680285926,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,CASH_IN,428062.12,C1174918790,960114.38,1388176.49,C1320515149,6113587.48,5405558.3,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,264186.47,C1350767358,23913.0,0.0,C1565052601,0.0,264186.47,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
8,CASH_IN,516065.4,C1652426696,11960.0,528025.4,C1452629183,80038.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
23,PAYMENT,1111.66,C778298126,21571.0,20459.34,M1588280287,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,CASH_IN,118881.52,C635405436,12773.0,131654.52,C473844547,1476350.18,1357468.67,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,CASH_OUT,285550.55,C2119514567,59465.32,0.0,C1054771725,1667535.26,1953085.81,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
8,CASH_OUT,9935.71,C1751522196,0.0,0.0,C1025031603,146012.0,1507.65,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
11,PAYMENT,15554.88,C1648851504,359639.34,344084.46,M1408776074,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
40,CASH_OUT,47396.6,C97475317,0.0,0.0,C664203889,392268.69,439665.29,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,CASH_OUT,170779.48,C213568329,3556.0,0.0,C1068059528,0.0,170779.48,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,TRANSFER,2055457.92,C689516346,30059.0,0.0,C1504217374,0.0,2055457.92,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,PAYMENT,28486.37,C342789867,0.0,0.0,M846593916,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
35,CASH_OUT,365430.26,C1069256854,847075.0,481644.74,C594703537,0.0,495186.78,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,PAYMENT,21699.43,C700428808,0.0,0.0,M614144085,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
39,CASH_IN,23888.95,C1732129635,251.0,24139.95,C340785490,243447.1,219558.15,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_OUT,19100.03,C303569044,0.0,0.0,C1567710452,130756.0,20456.97,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,CASH_OUT,99219.88,C190727505,11109.0,0.0,C1662206385,308595.87,131121.41,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,180323.06,C1559237528,0.0,0.0,C1079608646,1132003.39,1312326.45,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,CASH_OUT,3216.02,C788550244,18385.0,15168.98,C157628688,175268.14,178484.15,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_IN,316011.32,C2136434468,347780.0,663791.32,C500964049,701808.23,414004.01,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_IN,414113.64,C1564355800,1734543.34,2148656.98,C1659860461,1208490.94,794377.3,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
8,CASH_IN,81622.01,C183911646,87.0,81709.01,C1344545573,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,TRANSFER,977422.8,C1280406889,0.0,0.0,C1518728219,2205680.49,3327121.56,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_IN,171643.42,C2011486262,381907.86,553551.29,C1187717597,90685.86,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
38,CASH_OUT,3854.04,C148825233,0.0,0.0,C237467600,1256434.98,1260289.02,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,TRANSFER,766024.63,C2066345043,0.0,0.0,C941162394,1012169.45,2563538.61,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
23,CASH_IN,119618.37,C1514984925,1697117.53,1816735.9,C1180014238,3693161.28,3573542.91,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,CASH_OUT,50068.22,C97010883,0.0,0.0,C1203094087,2923017.53,2973085.74,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,PAYMENT,10599.5,C564707446,22006.0,11406.5,M31223078,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_OUT,233642.01,C646996339,122263.0,0.0,C676184108,0.0,233642.01,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,TRANSFER,102828.46,C1777818916,332094.88,229266.42,C804378,0.0,268014.78,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
34,CASH_OUT,330688.6,C1153466296,59882.0,0.0,C1237993637,30611.18,361299.78,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,PAYMENT,14979.91,C1002387559,20845.0,5865.09,M1312474096,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,TRANSFER,357149.96,C917910131,14919.73,0.0,C1848574849,733630.13,1090780.09,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,PAYMENT,19940.89,C738867197,432635.94,412695.05,M2076008319,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,TRANSFER,59744.03,C1720009373,0.0,0.0,C1568275166,628744.01,1090644.49,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
3,PAYMENT,3204.02,C245386411,12566.0,9361.98,M323981046,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
11,CASH_OUT,41374.48,C694743475,0.0,0.0,C2019675115,386062.09,427436.58,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
36,PAYMENT,51009.66,C716292062,17616.41,0.0,M261264529,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,CASH_OUT,194771.54,C1248970669,144227.0,0.0,C397521707,1749572.81,1944344.35,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,CASH_IN,256812.03,C1469805123,751366.03,1008178.06,C1005641337,7321462.52,7064650.49,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_IN,171360.44,C792723332,1946400.81,2117761.25,C1792565120,1541935.97,1180454.32,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_OUT,201687.07,C1794412697,165798.25,0.0,C197026585,100404.47,598833.18,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_OUT,165469.37,C1203316583,11401.0,0.0,C2023391825,516696.7,682166.07,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,TRANSFER,928470.06,C2123622545,11319.0,0.0,C1459119309,4126675.83,5055145.88,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,291052.27,C1564712564,0.0,0.0,C1271835801,7292983.48,7734672.99,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,CASH_OUT,245780.39,C1466968783,0.0,0.0,C1680365536,406026.95,651807.34,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,PAYMENT,11224.38,C2067683102,0.0,0.0,M675406139,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,CASH_OUT,273644.64,C773035738,0.0,0.0,C460737193,3664723.97,3938368.61,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_OUT,270701.24,C215766949,5043.0,0.0,C874023329,9483324.19,9754025.43,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
17,CASH_IN,25767.11,C1720563907,4038302.26,4064069.37,C1182844869,166483.14,140716.02,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
38,CASH_OUT,272611.27,C1316386382,50516.0,0.0,C569216252,0.0,272611.27,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,CASH_OUT,200211.6,C635668162,0.0,0.0,C2049891493,1423045.56,1583112.78,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
35,CASH_IN,60785.94,C1275132927,5994626.61,6055412.55,C618339722,398808.58,338022.64,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
35,TRANSFER,1159883.7,C1107535351,20491.0,0.0,C806810242,6247.22,1166130.92,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,CASH_OUT,87771.31,C1923934573,0.0,0.0,C1819218949,504352.03,592123.34,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,PAYMENT,21446.04,C1872804162,204016.0,182569.96,M24674653,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,CASH_IN,33312.26,C1154342998,7287783.37,7321095.62,C1492597966,6214240.37,5943224.11,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
10,CASH_IN,78848.28,C305198428,144962.0,223810.28,C664905020,13861.87,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,PAYMENT,3299.11,C974119364,0.0,0.0,M1588397466,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
12,CASH_IN,401321.73,C704559866,20521.0,421842.73,C1249366693,736090.03,664109.68,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,TRANSFER,415177.69,C817525472,72312.0,0.0,C577924039,3274344.52,3689522.21,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,CASH_OUT,390998.18,C348450276,166096.0,0.0,C1615336623,0.0,224073.23,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_IN,54906.57,C590985087,11355.0,66261.57,C1222625250,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
39,CASH_OUT,407111.61,C1618956771,5521.0,0.0,C209629777,0.0,407111.61,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
34,CASH_OUT,46986.75,C921325881,50063.0,3076.25,C1461079087,0.0,46986.75,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,TRANSFER,815604.68,C1915968274,106773.0,0.0,C2066585064,0.0,1443538.84,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
18,PAYMENT,8433.85,C622294229,195487.63,187053.78,M697831885,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
37,CASH_IN,306254.32,C874661391,30678.0,336932.32,C629600976,2684365.27,2378110.96,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
13,PAYMENT,6139.47,C357323929,0.0,0.0,M521366909,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
21,PAYMENT,6487.75,C1763660119,100570.0,94082.25,M703345137,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,CASH_IN,8272.0,C1768771764,6553287.23,6561559.23,C608437738,3522813.89,3514541.89,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_IN,69013.34,C1870118597,51766.0,120779.34,C1897901588,124821.0,391352.48,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
33,PAYMENT,2008.27,C607498936,32243.0,30234.73,M975878521,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
39,CASH_OUT,60482.07,C1599388107,0.0,0.0,C642299306,2953911.18,3132936.96,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
39,PAYMENT,9687.94,C151561163,0.0,0.0,M1216837653,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
15,CASH_OUT,135139.15,C88602056,0.0,0.0,C1179574101,281485.49,416624.64,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
9,PAYMENT,5166.12,C136718436,43805.38,38639.26,M665279575,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
38,CASH_IN,567499.13,C1014747060,31117.0,598616.13,C1800452035,323911.53,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
14,CASH_IN,131302.69,C1666985507,2043.0,133345.69,C2120120397,1542782.95,2265822.98,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
20,CASH_OUT,9279.38,C1320560285,172046.0,162766.62,C12329182,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
19,CASH_OUT,167818.74,C1408068322,0.0,0.0,C1821858299,461429.32,785607.02,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
12,PAYMENT,2681.81,C109398247,239.0,0.0,M1519705503,0.0,0.0,0,0,2026-09-25 20:42:02.737920,incremental_8d597d
